name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic;
LIPSCOMB,2788,12948,4.39,53389.85,56.24,38.37,0.39,0.59,2.7,1.71;
CARREON,2789,12941,4.39,53394.24,4.95,0.19,9,0.12,0.75,84.99;
PEASE,2790,12937,4.39,53398.62,91.41,2.57,0.49,1.73,1.58,2.22;
REGALADO,2791,12931,4.38,53403.01,5.42,0.23,3.43,0.22,0.33,90.36;
OLDHAM,2792,12928,4.38,53407.39,85.84,8.9,0.53,0.69,1.8,2.23;
BELANGER,2793,12922,4.38,53411.77,94.39,0.73,0.56,0.84,1.59,1.89;
ALCANTAR,2794,12919,4.38,53416.15,3.27,0.27,0.21,0.19,0.16,95.9;
LOONEY,2795,12910,4.38,53420.53,84.68,9.78,0.51,1.17,2.02,1.84;
KENYON,2796,12891,4.37,53424.9,93.41,1.72,0.65,0.7,1.5,2.02;
REICH,2796,12891,4.37,53429.27,93.85,0.5,0.53,0.96,1.44,2.72;
EPPERSON,2798,12884,4.37,53433.63,83.67,9.5,0.59,1.23,2.41,2.61;
AGUAYO,2799,12876,4.37,53438,4.09,0.19,0.29,0.25,0.14,95.05;
BEATY,2800,12869,4.36,53442.36,82.07,12.22,0.45,0.44,2,2.82;
RICKETTS,2801,12862,4.36,53446.72,71.79,22.11,0.45,0.65,2.27,2.72;
CHEATHAM,2802,12852,4.36,53451.08,55.84,38.43,0.35,0.45,2.59,2.33;
LUSK,2803,12847,4.36,53455.43,85.9,8.83,0.52,0.64,1.66,2.44;
MABRY,2804,12846,4.35,53459.79,68.31,26.4,0.3,0.48,2.01,2.5;
MILLARD,2805,12843,4.35,53464.14,90.13,3.69,0.97,0.57,1.78,2.87;
SHEN,2806,12839,4.35,53468.49,3.49,0.32,93.77,0.07,1.7,0.65;
THRASHER,2807,12836,4.35,53472.85,84.67,10.06,0.46,0.9,1.8,2.12;
DANIELSON,2808,12833,4.35,53477.2,93.25,0.94,1.32,0.61,1.7,2.17;
EBERT,2809,12830,4.35,53481.55,95.13,0.51,0.61,0.35,1.29,2.11;
TUBBS,2810,12828,4.35,53485.9,70.03,24.39,0.55,0.94,2.09,2;
GILCHRIST,2811,12825,4.35,53490.24,62.2,32.8,0.37,0.49,1.94,2.2;
CARDOZA,2812,12824,4.35,53494.59,29.74,2.83,1.26,0.25,1.36,64.57;
ANDRES,2813,12821,4.35,53498.94,46.21,2.26,16.07,0.5,1.68,33.27;
WILLINGHAM,2814,12818,4.35,53503.28,63.25,30.8,0.51,0.51,2.16,2.77;
RAGLAND,2815,12816,4.34,53507.63,48.63,44.76,0.47,0.51,3.53,2.09;
AIKEN,2816,12812,4.34,53511.97,66.4,27.64,0.89,1.02,2.11,1.94;
CARON,2817,12810,4.34,53516.31,94.35,0.59,0.75,0.37,1.2,2.75;
SNODGRASS,2818,12806,4.34,53520.65,93.43,2.06,0.43,0.59,1.52,1.96;
GAFFNEY,2819,12805,4.34,53525,83.06,12.07,0.53,0.26,1.64,2.44;
BABB,2820,12794,4.34,53529.33,82.12,11.86,0.7,0.48,1.84,2.99;
DENNEY,2821,12792,4.34,53533.67,93.11,1.44,0.45,1.19,1.47,2.35;
SCHOFIELD,2822,12790,4.34,53538,87.95,6.66,0.59,0.69,1.58,2.53;
JAUREGUI,2823,12783,4.33,53542.34,5.73,0.1,0.32,0.13,0.25,93.48;
MAIN,2824,12776,4.33,53546.67,91.94,0.66,1.53,1.32,1.75,2.79;
TAVARES,2825,12766,4.33,53551,52.21,10.2,2.49,0.31,4.3,30.5;
BARONE,2826,12758,4.33,53555.32,93.47,0.7,0.45,0.18,0.96,4.23;
TROUT,2826,12758,4.33,53559.65,92.62,1.53,0.56,0.99,2.03,2.27;
REES,2828,12754,4.32,53563.97,93.9,0.85,0.81,0.29,1.61,2.54;
PEDRAZA,2829,12748,4.32,53568.29,4.55,0.3,0.58,0.28,0.2,94.09;
CRISP,2830,12741,4.32,53572.61,81.74,12.57,0.6,0.8,2.04,2.25;
GILLETTE,2831,12724,4.31,53576.93,87.37,6.16,0.66,0.72,1.91,3.18;
STOCK,2832,12722,4.31,53581.24,94.91,0.55,0.54,0.36,1.5,2.14;
BAGGETT,2833,12717,4.31,53585.55,86.13,9.68,0.29,0.57,1.31,2.02;
MESSINA,2833,12717,4.31,53589.86,93.83,0.27,0.5,0.06,1.16,4.2;
KILLIAN,2833,12717,4.31,53594.17,90.41,4.4,0.54,0.64,1.75,2.25;
ANGULO,2836,12714,4.31,53598.48,5.01,0.5,1.1,0.2,0.13,93.05;
AMATO,2837,12713,4.31,53602.79,92.17,0.42,1.15,0.14,0.96,5.17;
WENDT,2838,12712,4.31,53607.1,95.13,0.36,0.72,0.42,1.24,2.12;
PARRIS,2839,12710,4.31,53611.41,66,25.41,0.54,1.27,2.79,4;
HAMMONDS,2839,12710,4.31,53615.72,57.29,29.67,0.3,7.99,2.75,2.01;
STEINBERG,2841,12709,4.31,53620.03,95.32,0.52,0.79,0.16,0.97,2.25;
BREAUX,2842,12705,4.31,53624.33,77.5,17.99,0.42,0.46,1.76,1.88;
EAST,2843,12684,4.3,53628.63,84.01,11.11,0.48,0.5,1.71,2.18;
MCARTHUR,2844,12683,4.3,53632.93,75.35,17.59,0.52,1.01,2.52,3.01;
GREY,2845,12680,4.3,53637.23,65.19,23.29,2.15,2.39,2.67,4.31;
WISNIEWSKI,2846,12675,4.3,53641.53,96.22,0.27,0.46,0.21,0.93,1.92;
PAN,2847,12664,4.29,53645.82,2.61,0.46,94.02,0.07,1.63,1.22;
GUARDADO,2848,12656,4.29,53650.11,3.45,0.21,0.11,0.08,0.1,96.05;
BENAVIDEZ,2849,12648,4.29,53654.4,8.13,0.21,0.99,0.81,0.28,89.57;
GARBER,2850,12640,4.29,53658.69,94.75,0.84,0.73,0.31,1.39,1.99;
LAZO,2850,12640,4.29,53662.97,7.59,0.27,7.96,0.04,0.82,83.31;
LERMA,2852,12639,4.28,53667.26,6.54,0.36,0.76,0.58,0.4,91.37;
ALCANTARA,2853,12636,4.28,53671.54,5.05,0.62,17.89,0.05,1.45,74.94;
HOUCK,2854,12634,4.28,53675.82,94.98,0.93,0.58,0.51,1.58,1.42;
SEITZ,2855,12630,4.28,53680.1,95.67,0.36,0.67,0.33,1.13,1.84;
SCHUBERT,2856,12629,4.28,53684.39,93.92,0.31,0.78,0.37,1.43,3.2;
MUNGUIA,2857,12615,4.28,53688.66,3.95,0.22,0.13,0.13,0.11,95.46;
REDDY,2858,12614,4.28,53692.94,27.17,2.35,66.12,0.59,2.6,1.17;
HUNTLEY,2858,12614,4.28,53697.21,68.37,26.69,0.58,0.38,2.19,1.79;
WING,2858,12614,4.28,53701.49,82.15,3.81,6.89,1.6,2.77,2.78;
ADCOCK,2861,12599,4.27,53705.76,94.35,0.99,0.46,0.93,1.59,1.68;
SLADE,2861,12599,4.27,53710.03,64.27,29.53,0.8,0.26,2.58,2.55;
MATLOCK,2861,12599,4.27,53714.3,73.69,19.87,0.52,1.18,2.44,2.29;
LONGO,2864,12594,4.27,53718.57,92.42,1.24,0.55,0.14,0.93,4.72;
ORLANDO,2865,12586,4.27,53722.84,89.39,1.28,0.94,0.14,0.93,7.33;
HEIN,2865,12586,4.27,53727.11,94.18,0.22,1.54,0.34,1.36,2.35;
TRAMMELL,2867,12582,4.27,53731.37,71.64,21.94,0.38,0.9,2.61,2.53;
GUINN,2868,12577,4.26,53735.64,82.15,10.32,0.62,2.09,2.31,2.51;
WILL,2869,12575,4.26,53739.9,91.16,4.35,0.76,0.26,1.45,2.03;
MUSE,2870,12571,4.26,53744.16,58.11,36.39,0.68,0.47,2.39,1.97;
CLANCY,2871,12556,4.26,53748.42,90.81,4.59,0.82,0.33,1.39,2.05;
CARABALLO,2872,12546,4.25,53752.67,7.14,1.66,0.45,0.04,0.31,90.4;
BAUGH,2873,12543,4.25,53756.92,74.57,19.93,0.66,0.69,2.1,2.06;
CRAWLEY,2874,12523,4.25,53761.17,59.98,33.97,0.35,0.67,2.87,2.16;
WHEATLEY,2875,12520,4.24,53765.41,84.69,10.85,0.49,0.36,1.57,2.04;
LINN,2876,12508,4.24,53769.65,91.81,0.75,2.41,0.59,1.5,2.93;
SHOCKLEY,2877,12504,4.24,53773.89,83.36,11.56,0.38,0.58,2.22,1.89;
CHISHOLM,2878,12503,4.24,53778.13,65.08,28.51,0.65,0.77,2.41,2.59;
DONG,2879,12466,4.23,53782.36,2.87,0.39,93.81,0.05,2.13,0.76;
MCCURDY,2880,12463,4.23,53786.58,84.63,10.26,0.31,0.71,1.73,2.36;
BERTRAND,2881,12461,4.22,53790.81,80.26,13.06,0.5,0.31,1.77,4.09;
SPANN,2882,12457,4.22,53795.03,43.04,51.25,0.31,0.35,3.03,2.01;
PRECIADO,2883,12455,4.22,53799.25,4.18,0.31,0.32,0.25,0.09,94.86;
COONEY,2883,12455,4.22,53803.47,92.85,2.62,0.59,0.34,1.24,2.37;
BERRIOS,2885,12451,4.22,53807.69,6.14,1.29,0.27,0.08,0.35,91.89;
ZELAYA,2886,12448,4.22,53811.91,4.25,1.05,0.39,0.06,0.19,94.06;
JAEGER,2887,12436,4.22,53816.13,94.89,0.25,0.88,0.38,1.28,2.32;
SMALLS,2888,12435,4.22,53820.35,3.78,90.49,0.23,0.28,2.76,2.46;
CLEVENGER,2889,12428,4.21,53824.56,94.98,0.39,0.6,0.64,1.42,1.97;
DURANT,2889,12428,4.21,53828.77,51.96,36.82,0.68,1.88,3.23,5.43;
BOLLINGER,2891,12425,4.21,53832.98,94.99,0.39,0.88,0.61,1.48,1.65;
ARMENDARIZ,2892,12423,4.21,53837.2,5.24,0.23,0.14,0.15,0.22,94.02;
DENSON,2893,12419,4.21,53841.41,45.69,47.85,0.48,1.08,2.63,2.28;
MIXON,2894,12394,4.2,53845.61,64.06,30.77,0.33,0.64,2.23,1.98;
GEARY,2895,12382,4.2,53849.81,92.51,2.98,0.5,0.57,1.2,2.25;
MONTIEL,2896,12376,4.2,53854,4.77,0.37,0.4,0.48,0.15,93.83;
SANTAMARIA,2897,12375,4.2,53858.2,18.42,0.2,3.75,0.09,0.57,76.96;
MCAFEE,2898,12371,4.19,53862.39,71.4,22.25,0.43,0.58,2.49,2.85;
DONALD,2899,12367,4.19,53866.58,52.03,41.74,0.68,0.99,2.6,1.96;
FOUST,2900,12366,4.19,53870.77,86.58,8.75,0.41,0.47,1.73,2.05;
SISK,2901,12365,4.19,53874.97,90.77,3.53,0.36,1.23,1.65,2.45;
ROCKWELL,2902,12360,4.19,53879.16,90.61,3.95,0.69,0.98,1.52,2.26;
FERRARO,2903,12355,4.19,53883.34,93.09,0.7,0.56,0.08,0.96,4.62;
STILL,2904,12354,4.19,53887.53,80.14,13.23,0.45,1.52,2.47,2.19;
CASPER,2905,12351,4.19,53891.72,93.14,2.24,0.71,0.42,1.38,2.1;
CINTRON,2906,12349,4.19,53895.91,7.23,1.77,0.43,0.15,0.17,90.25;
OVERSTREET,2907,12342,4.18,53900.09,78.16,17.17,0.37,0.5,1.95,1.85;
BORGES,2908,12337,4.18,53904.27,57.3,3.02,1.38,0.22,2.11,35.97;
CONCEPCION,2909,12332,4.18,53908.45,4.68,1.6,21.42,0.11,2.13,70.06;
LEMONS,2910,12322,4.18,53912.63,71.32,22.9,0.27,0.7,1.68,3.13;
MATSON,2911,12320,4.18,53916.81,92.35,1.9,0.75,1.25,1.59,2.16;
BRINSON,2912,12303,4.17,53920.98,49.36,46.02,0.31,0.31,2.28,1.72;
SHELBY,2912,12303,4.17,53925.15,58.22,36.02,0.44,0.57,2.33,2.42;
RALSTON,2914,12302,4.17,53929.32,90.6,3.6,0.67,0.88,1.71,2.54;
ALTAMIRANO,2915,12296,4.17,53933.49,4.24,0.28,1.17,0.12,0.13,94.05;
SWANN,2916,12293,4.17,53937.66,67.02,26.23,0.62,1.04,2.81,2.28;
ALICEA,2917,12287,4.17,53941.82,7.55,1.45,0.37,0.07,0.31,90.24;
BROUGHTON,2918,12273,4.16,53945.98,66.09,28.82,0.48,0.61,1.99,2.01;
OGLESBY,2919,12271,4.16,53950.14,63.37,31.2,0.42,0.51,2.22,2.29;
CACERES,2920,12269,4.16,53954.3,5.88,0.43,1.54,(S),(S),91.78;
BRAXTON,2921,12268,4.16,53958.46,19.89,72.43,0.27,0.42,4.18,2.81;
ASHTON,2922,12263,4.16,53962.62,80.49,13.36,0.61,0.48,2.14,2.93;
LOMELI,2922,12263,4.16,53966.77,4.77,0.23,0.15,0.11,0.13,94.61;
BEGUM,2924,12255,4.15,53970.93,0.84,0.2,96.6,0.15,1.92,0.29;
SCARBOROUGH,2925,12252,4.15,53975.08,80.44,14.85,0.38,0.6,1.51,2.22;
DEWEY,2926,12249,4.15,53979.23,91.66,1.87,0.65,1.92,2.02,1.88;
ALFONSO,2927,12246,4.15,53983.39,19.79,1.25,10.44,0.13,0.99,67.39;
DUGGAN,2928,12237,4.15,53987.53,92.44,2.69,0.74,0.28,1.35,2.5;
NADEAU,2929,12236,4.15,53991.68,92.55,0.42,0.43,3.02,2.02,1.57;
CHURCHILL,2930,12235,4.15,53995.83,89.11,5.29,0.57,0.82,2.01,2.21;
LOYA,2931,12232,4.15,53999.98,9.81,0.34,0.75,0.37,0.31,88.42;
RAGSDALE,2932,12227,4.15,54004.12,78.46,14.52,0.43,1.28,2.4,2.92;
MACE,2933,12222,4.14,54008.27,89.67,4.12,0.39,1.45,1.56,2.81;
BRUBAKER,2934,12218,4.14,54012.41,95.59,0.25,0.56,0.29,1.1,2.21;
RIGGINS,2934,12218,4.14,54016.55,51.29,42.46,0.43,0.54,2.72,2.55;
CURLEY,2936,12211,4.14,54020.69,70.66,8.29,0.59,16.49,1.63,2.34;
GRABER,2937,12204,4.14,54024.83,97.16,0.46,0.27,0.12,0.61,1.38;
MCCRARY,2937,12204,4.14,54028.96,64.86,29.84,0.29,0.48,2.06,2.47;
FARNSWORTH,2939,12203,4.14,54033.1,94.97,0.45,0.52,0.37,1.25,2.43;
HERRICK,2940,12202,4.14,54037.24,94.6,0.47,0.69,0.55,1.49,2.2;
OATES,2940,12202,4.14,54041.37,61.02,33.99,0.3,0.48,2,2.21;
NUNES,2942,12191,4.13,54045.51,69.95,5.41,1.57,0.3,2.68,20.09;
HARLEY,2943,12186,4.13,54049.64,52.61,38.84,0.45,2.41,3.19,2.49;
ROBERT,2944,12181,4.13,54053.77,71.2,15.75,3.99,0.69,2.08,6.29;
TALBERT,2944,12181,4.13,54057.9,69.99,24.06,0.54,0.55,2.54,2.32;
HOPSON,2946,12180,4.13,54062.03,51.75,41.57,0.3,1.67,2.85,1.86;
WATERMAN,2947,12177,4.13,54066.15,86.08,7.63,0.6,1.17,1.81,2.71;
GAO,2948,12172,4.13,54070.28,1.22,(S),97.39,(S),0.62,0.41;
LANTZ,2949,12169,4.13,54074.41,95.17,0.6,0.62,0.39,1.45,1.78;
HAMRICK,2950,12168,4.13,54078.53,93.07,3.55,0.29,0.47,1.12,1.5;
CORNWELL,2950,12168,4.13,54082.66,90.33,5.14,0.51,0.39,1.66,1.97;
NYE,2952,12167,4.12,54086.78,93.79,0.86,1.13,0.59,1.5,2.14;
REIS,2953,12165,4.12,54090.9,88.94,2.72,1.63,0.16,2.31,4.25;
BIRCH,2954,12161,4.12,54095.03,82.79,10.95,0.77,0.54,1.87,3.08;
MILNER,2955,12153,4.12,54099.15,77.55,17.33,0.57,0.43,1.63,2.49;
SLONE,2956,12142,4.12,54103.26,94.14,1.87,0.69,0.56,1.5,1.24;
SPURLOCK,2957,12141,4.12,54107.38,82.18,13.08,0.37,0.42,1.95,2;
TOLLIVER,2958,12128,4.11,54111.49,44.85,48.87,0.37,0.79,3.08,2.04;
ALMONTE,2958,12128,4.11,54115.6,5.22,0.74,3.09,0.05,0.35,90.54;
RAZO,2960,12125,4.11,54119.71,5.2,0.28,1.24,0.44,0.42,92.42;
MASTERSON,2961,12117,4.11,54123.82,92.19,2.31,0.64,0.66,1.81,2.39;
PORRAS,2962,12106,4.1,54127.92,7.24,0.17,1.61,0.4,0.27,90.3;
MOULTON,2963,12104,4.1,54132.03,88.74,6.06,0.64,0.56,1.69,2.31;
MONK,2964,12103,4.1,54136.13,78.42,15.81,0.85,0.62,1.58,2.72;
PENCE,2965,12101,4.1,54140.23,94.89,0.72,0.48,0.52,1.5,1.89;
HATTON,2966,12090,4.1,54144.33,81.22,12.97,0.43,1.15,2.04,2.18;
RUST,2967,12086,4.1,54148.43,93.79,1.16,0.71,0.59,1.63,2.12;
DUCKWORTH,2968,12080,4.1,54152.52,79.83,14.64,0.58,0.47,2.09,2.4;
FRANTZ,2969,12079,4.09,54156.62,94.93,0.91,0.54,0.56,1.14,1.92;
OREILLY,2970,12074,4.09,54160.71,91.86,2.05,0.71,0.35,1.54,3.5;
BUNDY,2971,12065,4.09,54164.8,82.11,12.32,0.51,0.71,2.3,2.03;
BETHEA,2972,12061,4.09,54168.89,19.53,74.76,0.18,0.55,2.66,2.32;
REINHARDT,2973,12057,4.09,54172.98,93.06,1.64,0.68,0.41,1.36,2.84;
SAM,2974,12053,4.09,54177.06,12.06,27.84,33.73,17.93,3.07,5.37;
GUO,2975,12048,4.08,54181.15,1.1,0.32,97.77,0,0.66,0.17;
LITTLEJOHN,2976,12047,4.08,54185.23,43.5,47.34,0.43,2.14,4.32,2.26;
CARLIN,2977,12035,4.08,54189.31,83.69,1.5,0.85,0.37,1.06,12.53;
KIMBROUGH,2978,12034,4.08,54193.39,45.26,48.71,0.41,0.29,3.27,2.06;
LOW,2979,12032,4.08,54197.47,61.77,1.7,28.82,0.36,4.31,3.03;
STOLL,2979,12032,4.08,54201.55,94,0.94,0.77,0.49,1.48,2.32;
LANDRUM,2981,12026,4.08,54205.63,72.82,20.84,0.37,0.73,2.69,2.55;
CHAMPAGNE,2982,12023,4.08,54209.7,84.56,9.47,0.42,1.53,1.73,2.29;
FORTE,2982,12023,4.08,54213.78,63,27.82,0.82,0.27,1.8,6.28;
DYSON,2984,12017,4.07,54217.85,58.73,36.03,0.48,0.32,2.4,2.03;
JETT,2985,12008,4.07,54221.92,75.13,19.42,0.47,0.42,2.64,1.92;
BACH,2986,11999,4.07,54225.99,84.82,0.3,10.7,0.21,1.3,2.67;
STREETER,2987,11988,4.06,54230.05,65.22,29.18,0.48,0.48,2.19,2.46;
CHRISTMAN,2988,11987,4.06,54234.12,92.27,2.76,0.6,0.58,1.74,2.04;
BRINK,2989,11982,4.06,54238.18,93.65,0.33,0.73,1.54,1.39,2.35;
HERR,2990,11980,4.06,54242.24,90.08,0.65,5.54,0.2,1.3,2.22;
FALK,2991,11979,4.06,54246.3,94.33,0.5,0.94,0.23,1.41,2.59;
BEVERLY,2992,11978,4.06,54250.36,49.63,44.57,0.34,0.41,2.76,2.29;
WYLIE,2993,11975,4.06,54254.42,82.81,11.22,0.68,0.78,1.95,2.55;
FALLON,2994,11974,4.06,54258.48,93.11,1.41,0.72,0.23,1.32,3.21;
BILLINGSLEY,2995,11973,4.06,54262.54,65.74,28.99,0.33,0.49,2.42,2.02;
STACK,2996,11967,4.06,54266.6,92.7,1.79,0.82,0.36,1.57,2.76;
CHOWDHURY,2997,11961,4.05,54270.65,2.23,0.33,93.57,0.67,2.41,0.79;
PASCUAL,2998,11959,4.05,54274.71,5.4,0.36,37.42,0.37,3.06,53.39;
QUALLS,2999,11958,4.05,54278.76,73.06,20.02,0.31,1.66,2.59,2.36;
PERSAUD,3000,11956,4.05,54282.81,10.22,20.54,51.83,3.7,8.94,4.77;
CHRISTIANSON,3001,11951,4.05,54286.87,94.34,0.38,0.54,0.71,1.66,2.36;
FORTNER,3001,11951,4.05,54290.92,89.93,5.41,0.39,0.85,1.77,1.65;
GILMAN,3003,11946,4.05,54294.97,93.02,1.05,1.06,0.9,1.98,1.99;
CECIL,3004,11941,4.05,54299.01,90.55,3.83,1.09,0.72,1.47,2.34;
FRANCE,3005,11937,4.05,54303.06,76.88,16.98,0.86,0.74,2.18,2.36;
TURPIN,3005,11937,4.05,54307.11,83.03,11.53,0.48,0.72,1.95,2.3;
GREENFIELD,3007,11922,4.04,54311.15,86.29,8.9,0.72,0.28,1.54,2.26;
MIZE,3008,11908,4.04,54315.19,91.29,2.78,0.55,0.98,2.06,2.34;
SELBY,3008,11908,4.04,54319.22,81.23,13.34,0.56,0.6,1.97,2.29;
COTTER,3010,11904,4.04,54323.26,94.52,0.71,0.75,0.54,1.35,2.13;
NEW,3011,11903,4.04,54327.29,88.62,4.39,1.49,0.86,1.82,2.82;
FONTAINE,3012,11901,4.03,54331.33,83.54,9.66,0.63,0.38,1.75,4.04;
VALLADARES,3012,11901,4.03,54335.36,4.3,0.53,0.56,0.09,0.1,94.41;
EDGAR,3014,11895,4.03,54339.4,87.41,4.78,1.34,0.48,1.88,4.12;
FORMAN,3015,11894,4.03,54343.43,84.01,10.86,0.56,0.45,1.57,2.55;
HANNON,3016,11893,4.03,54347.46,85.45,9.25,0.5,0.52,1.94,2.34;
REEDY,3017,11884,4.03,54351.49,87.77,7.23,0.58,0.59,1.51,2.32;
GALVIN,3018,11882,4.03,54355.52,84.87,4.31,0.86,0.45,1.56,7.95;
DOUGHTY,3019,11880,4.03,54359.54,81.69,12.51,0.66,0.63,1.96,2.54;
FRALEY,3020,11876,4.03,54363.57,91.85,3.72,0.46,0.58,1.56,1.83;
BECKWITH,3020,11876,4.03,54367.6,82.47,12.39,0.68,0.53,2.05,1.88;
ALLAN,3022,11867,4.02,54371.62,84.46,6.45,2.06,0.75,2.44,3.83;
BEAUCHAMP,3023,11865,4.02,54375.64,80.12,7.44,0.51,0.97,2.27,8.69;
VIERA,3024,11861,4.02,54379.66,19.48,1.87,0.46,0.19,0.71,77.3;
MOFFETT,3025,11853,4.02,54383.68,67.82,26.42,0.57,0.95,1.88,2.35;
STUCKEY,3026,11846,4.02,54387.7,67.01,28.41,0.35,0.57,1.92,1.73;
BRUMFIELD,3027,11842,4.01,54391.71,54.5,41.21,0.36,0.39,1.68,1.86;
LANKFORD,3028,11834,4.01,54395.72,84.38,9.58,0.53,1.18,2.1,2.21;
CYR,3029,11829,4.01,54399.73,95.44,0.24,0.58,0.41,1.45,1.88;
BOLANOS,3029,11829,4.01,54403.74,3.9,0.42,1.23,0.09,0.16,94.2;
SHANKS,3031,11822,4.01,54407.75,78.1,16.05,0.62,0.75,2.17,2.31;
OSULLIVAN,3032,11818,4.01,54411.76,93.83,1.72,0.77,0.18,1.24,2.26;
DELVALLE,3033,11816,4.01,54415.76,8.66,1.37,1.25,0.12,0.27,88.33;
HITE,3034,11810,4,54419.77,85.8,9.39,0.62,0.44,1.63,2.12;
ARENAS,3035,11809,4,54423.77,5.27,0.51,4.87,0.26,0.46,88.64;
TOMLIN,3036,11797,4,54427.77,75.81,19.08,0.53,0.52,2.01,2.06;
CARDWELL,3037,11791,4,54431.77,82,12.39,0.38,0.67,2.1,2.45;
MILAM,3038,11787,4,54435.76,85.32,8.21,0.65,0.82,2.02,2.97;
BOWIE,3039,11786,4,54439.76,41.55,51.35,0.42,0.77,2.99,2.93;
HALVERSON,3040,11781,3.99,54443.75,94.73,0.28,0.75,0.57,1.58,2.1;
SPEER,3041,11770,3.99,54447.74,91.64,1.78,0.59,0.61,1.74,3.64;
AMARO,3042,11769,3.99,54451.73,11.82,1.12,0.82,0.25,0.39,85.6;
MCMILLIAN,3043,11765,3.99,54455.72,35.86,57.37,0.26,2.12,2.51,1.89;
PONDER,3044,11764,3.99,54459.71,66.66,28.12,0.51,0.51,2.09,2.11;
BECKETT,3045,11763,3.99,54463.7,77.05,17.64,0.53,0.43,1.94,2.42;
APPLEGATE,3046,11762,3.99,54467.68,93.04,1.11,0.53,0.87,1.81,2.65;
LARUE,3047,11757,3.99,54471.67,86.8,6.52,0.63,0.61,2.03,3.4;
HUDGINS,3048,11755,3.99,54475.65,78.24,16.36,0.37,0.66,2.28,2.09;
PAXTON,3049,11754,3.98,54479.64,86.18,8.09,0.56,0.73,2.14,2.29;
MARTINS,3050,11751,3.98,54483.62,81.28,8.15,1.65,0.56,2.04,6.31;
FORTUNE,3051,11748,3.98,54487.6,56.83,36.81,0.74,0.95,2.49,2.19;
BAIR,3052,11740,3.98,54491.58,92.78,2.12,1.08,0.43,1.47,2.12;
DORMAN,3053,11739,3.98,54495.56,89.08,5.38,0.55,0.89,1.82,2.29;
NEVILLE,3053,11739,3.98,54499.54,84.36,10.89,0.69,0.41,1.55,2.1;
RAINS,3055,11737,3.98,54503.52,91.04,2.22,0.69,1.25,1.76,3.04;
SMALLEY,3055,11737,3.98,54507.5,84.84,9.42,0.55,0.8,2.01,2.38;
LAMAR,3057,11733,3.98,54511.48,51.14,39.09,0.86,0.51,2.57,5.82;
HOLTON,3058,11731,3.98,54515.46,78.85,15.94,0.61,0.32,1.74,2.54;
PATTEN,3059,11730,3.98,54519.43,84.83,8.9,1.03,1.04,2.19,2.01;
HARLOW,3060,11726,3.98,54523.41,94.07,1.3,0.66,0.51,1.58,1.88;
VUE,3061,11717,3.97,54527.38,0.45,(S),97.83,(S),1.05,0.57;
MARX,3062,11716,3.97,54531.35,94.43,1.14,0.73,0.46,1.09,2.14;
SOMMERS,3063,11706,3.97,54535.32,93.82,1.67,0.53,0.5,1.54,1.94;
KOLB,3064,11705,3.97,54539.29,94.69,0.38,0.64,0.77,1.4,2.12;
MORRELL,3065,11700,3.97,54543.25,83.52,9.24,0.64,0.73,1.79,4.08;
HAVENS,3066,11699,3.97,54547.22,93.28,1.06,0.53,0.53,1.79,2.81;
BRICE,3067,11697,3.97,54551.19,48.09,45.09,0.52,0.53,2.77,3;
FINNEGAN,3068,11695,3.96,54555.15,95.22,0.45,0.74,0.11,1.31,2.16;
SOARES,3069,11694,3.96,54559.12,74.3,8.41,4.14,0.37,4.73,8.06;
GODOY,3070,11690,3.96,54563.08,6.67,1.09,2.87,0.33,0.41,88.63;
CARL,3071,11689,3.96,54567.04,88.12,4,1.4,2.09,1.61,2.79;
HILDEBRAND,3072,11687,3.96,54571,94.29,0.66,0.52,0.68,1.29,2.56;
MERINO,3073,11684,3.96,54574.96,8.43,0.28,1.57,0.52,0.21,88.98;
RAWLS,3074,11679,3.96,54578.92,52.85,41.6,0.39,0.52,2.48,2.16;
RAO,3075,11672,3.96,54582.88,17.02,0.27,78.55,0.16,2.91,1.09;
MELLO,3076,11670,3.96,54586.84,89.56,0.99,0.83,0.3,1.71,6.62;
BLAKELY,3077,11669,3.96,54590.79,62.8,30.64,0.46,0.52,2.75,2.83;
MCALISTER,3078,11665,3.95,54594.75,83.11,11.63,0.32,0.74,1.9,2.3;
LYMAN,3079,11664,3.95,54598.7,88.6,3.8,1.47,0.9,2.73,2.51;
HARKINS,3080,11662,3.95,54602.65,90.48,4.16,0.63,0.81,1.95,1.96;
SOMMER,3080,11662,3.95,54606.61,94.67,0.28,0.73,0.63,1.29,2.4;
MCHENRY,3082,11660,3.95,54610.56,76.81,16.96,0.51,1.01,2.34,2.37;
CASON,3083,11657,3.95,54614.51,64.44,30.21,0.49,0.69,2.13,2.04;
FAULK,3084,11656,3.95,54618.46,70.24,24.98,0.32,0.69,1.88,1.9;
WHARTON,3084,11656,3.95,54622.42,73.32,20.03,0.75,0.45,2.63,2.81;
BIGELOW,3086,11650,3.95,54626.36,86.76,7.79,0.79,0.45,2.14,2.07;
HELM,3087,11649,3.95,54630.31,86.39,7.58,0.86,0.63,2.42,2.12;
BULL,3088,11646,3.95,54634.26,86.12,8.29,0.62,1.19,1.23,2.54;
DOCKERY,3089,11644,3.95,54638.21,65.97,29.31,0.26,0.43,2.04,1.99;
THAI,3089,11644,3.95,54642.16,2.23,(S),95.61,(S),1.41,0.58;
